ANO;NOME_AGREGA;AGREGA;ESPVIDA;MORT1;T_ENV;RAZDEP;ANOSEST;T_ANALF15M;T_ANALF18M;T_ANALF25M;T_ATRASO_2_BASICO;T_ATRASO_2_FUND;T_FLBAS;T_FLFUND;T_FLMED;T_FLSUPER;T_FREQ5A6;T_FREQ6A14;T_FREQ15A17;T_FREQ18A24;T_FUND11A13;T_FUND15A17;T_FUND18M;T_FUND18A24;T_FUND25M;T_MED18A20;T_MED25M;T_SUPER25M;R1040;R2040;RDPC;RDPC1;RDPC2;RDPC3;RDPC4;RDPC5;RDPC10;RDPCT;RIND;RMPOB;RPOB;PRENTRAB;PIND;PMPOB;PPOB;GINI;THEIL;POP;POP5A6;POP6A14;POP6A17;POP11A13;POP15A17;POP15M;POP18M;POP18A20;POP18A24;POP25M;POP65M;POPT;POPTOT;I_ESCOLARIDADE;I_FREQ_PROP;IDHM_E;IDHM_L;IDHM_R;IDHM
2012;AP;16;72,78;24,11;3,05;53,70;9,18;6,72;7,39;9,19;34,07;30,24;91,25;93,77;47,88;13,82;71,31;95,25;83,47;34,15;78,43;59,32;68,74;82,65;65,08;39,02;48,11;12,83;16,09;11,25;562,64;98,81;197,38;312,37;533,41;1666,68;2383,27;572,39;24,96;90,24;149,64;89,27;3,92;16,93;40,46;0,539;0,495;720206;29930;149641;207539;50049;57898;492561;434663;40218;90498;344165;22073;707935;720206;0,687;0,620;0,642;0,796;0,683;0,707
2013;AP;16;73,09;23,88;4,36;51,95;9,18;5,97;6,61;7,98;26,83;24,14;91,05;94,19;51,77;19,15;84,88;95,55;82,74;35,32;81,18;59,90;70,29;83,33;66,62;48,88;51,64;12,87;14,53;10,27;578,13;101,11;220,03;342,43;578,49;1648,67;2332,84;591,79;19,08;82,72;146,45;86,80;4,31;15,17;35,64;0,522;0,462;676123;30440;149660;200057;47588;50397;518792;468395;46046;102822;365573;32235;660516;676123;0,703;0,687;0,692;0,802;0,688;0,727
2014;AP;16;73,38;23,67;4,07;50,44;9,69;4,22;4,58;5,67;24,30;22,29;93,62;96,27;55,68;18,27;85,71;98,32;85,41;31,97;84,51;64,87;74,93;87,02;71,49;55,44;57,01;14,56;10,47;7,98;630,72;153,70;269,00;394,93;651,65;1686,54;2212,79;630,72;49,90;100,03;173,92;85,31;1,15;6,54;26,39;0,470;0,379;741289;25289;138356;186108;40008;47752;532742;484990;52132;107371;377619;30715;741289;741289;0,749;0,726;0,734;0,806;0,702;0,747
2015;AP;16;73,66;23,45;5,73;54,01;9,32;5,89;6,41;7,78;25,63;24,38;91,05;95,28;48,39;17,80;77,20;97,10;79,04;34,56;83,70;59,14;69,16;84,55;65,25;44,63;48,70;11,82;11,96;8,72;532,22;116,99;219,43;320,34;545,91;1467,55;2011,30;532,22;50,96;97,31;160,56;82,76;2,75;13,42;37,12;0,493;0,422;763810;29964;144767;193646;49915;48879;544677;495798;44136;100372;395426;44138;763810;763810;0,692;0,662;0,672;0,811;0,675;0,719
2011;TO;17;71,89;18,69;6,57;50,61;7,70;12,17;13,20;15,83;20,44;16,43;93,93;97,10;52,48;13,91;82,95;97,87;84,07;29,48;88,38;61,36;56,84;81,92;51,20;43,65;35,82;9,67;14,33;9,93;540,73;100,07;210,46;329,28;526,59;1541,57;2224,52;545,05;38,08;85,50;154,88;80,86;5,45;15,76;40,05;0,520;0,481;1420630;53170;253349;347190;90656;93841;1053348;959507;79140;176170;783337;94824;1409360;1420630;0,568;0,691;0,647;0,782;0,677;0,702
2012;TO;17;72,21;18,04;7,07;53,02;7,94;13,40;14,39;17,12;19,35;14,34;94,74;96,65;49,58;14,17;87,17;98,05;87,11;31,48;89,01;57,89;56,58;82,83;51,05;46,14;37,76;11,46;14,76;10,11;595,93;109,04;228,95;364,42;567,76;1707,82;2494,50;601,10;35,02;83,06;151,10;79,92;4,28;12,97;34,03;0,525;0,489;1437166;54776;260613;345215;86062;84602;1059957;975355;81461;169476;805879;103506;1424804;1437166;0,566;0,701;0,652;0,787;0,693;0,711
2013;TO;17;72,52;17,43;7,39;51,29;8,09;12,24;13,41;15,95;15,68;11,08;93,90;96,73;57,14;16,93;90,04;98,18;84,58;35,60;92,74;68,03;57,27;82,67;51,91;45,22;38,63;11,87;14,21;9,88;590,66;106,57;231,81;365,72;577,85;1671,15;2403,92;598,40;32,47;81,17;151,40;79,65;4,93;13,20;34,20;0,517;0,469;1438368;48456;252828;354081;85418;101253;1089545;988292;81759;172209;816083;109546;1419761;1438368;0,573;0,740;0,679;0,792;0,691;0,721
2014;TO;17;72,82;16,86;7,92;51,40;8,16;12,15;12,99;15,40;11,97;8,67;94,49;97,29;57,68;17,44;88,89;98,90;82,05;32,33;93,53;67,62;58,50;84,51;53,38;54,86;39,84;10,58;13,87;9,73;628,99;112,45;253,03;401,51;618,08;1777,15;2535,46;635,71;33,31;81,44;149,33;81,15;4,54;12,01;30,06;0,512;0,468;1472204;52801;254053;333646;86720;79593;1110499;1030906;81379;169646;861260;118880;1456641;1472204;0,585;0,762;0,698;0,797;0,701;0,732
2015;TO;17;73,11;16,32;8,52;48,53;8,39;11,43;12,26;14,27;16,14;11,67;95,22;97,43;58,02;20,63;94,62;98,71;87,18;34,53;91,05;65,60;59,40;85,78;54,67;48,97;40,40;12,48;14,23;9,60;619,56;120,43;245,03;386,81;589,45;1755,10;2599,92;623,44;31,24;86,47;154,25;78,51;3,69;11,60;31,02;0,517;0,478;1463154;47114;236062;322924;82064;86862;1152375;1065513;73453;162107;903406;129436;1454034;1463154;0,594;0,751;0,694;0,802;0,699;0,732
2011;MA;21;69,07;27,50;7,14;61,78;6,46;21,64;23,52;28,52;31,14;26,15;94,06;96,64;42,61;6,35;97,07;98,12;83,50;25,04;79,18;50,69;52,60;74,87;46,82;36,10;29,84;5,64;16,43;11,16;336,86;46,12;128,68;206,43;329,55;975,51;1435,59;341,97;37,56;73,28;127,75;70,66;15,83;32,84;60,36;0,541;0,534;6394963;273244;1280274;1704358;461974;424084;4606778;4182694;385469;861305;3321389;477305;6299497;6394963;0,526;0,658;0,610;0,735;0,601;0,649
2012;MA;21;69,38;26,08;7,27;61,11;6,70;20,84;22,63;26,99;23,45;18,49;94,67;97,55;43,68;7,16;96,23;98,86;84,12;25,54;84,00;51,81;47,66;71,74;41,89;32,58;28,75;5,43;17,18;11,50;369,70;52,07;135,73;221,43;360,06;1079,76;1613,47;374,98;37,95;76,17;128,88;72,18;13,79;31,30;56,88;0,549;0,550;6569240;276992;1308069;1721660;429306;413591;4675846;4262255;364330;824223;3438032;490507;6476671;6569240;0,477;0,662;0,593;0,740;0,616;0,650
2013;MA;21;69,68;24,75;7,37;58,98;6,83;19,85;21,88;25,94;24,31;20,95;93,97;97,30;50,24;8,61;96,84;98,42;84,53;30,71;85,34;57,89;48,94;75,37;43,08;34,68;29,38;6,68;18,84;12,68;420,34;48,62;146,38;253,10;417,58;1235,84;1836,84;426,97;38,32;70,33;123,97;70,60;15,43;29,00;50,65;0,559;0,589;6514205;278833;1303161;1763224;455652;460063;4779606;4319543;363936;783655;3535888;501146;6412948;6514205;0,489;0,687;0,613;0,745;0,637;0,665
2014;MA;21;69,98;23,52;7,87;57,73;7,09;19,61;21,41;25,63;20,71;16,21;94,27;97,21;52,49;9,68;97,13;98,18;85,08;27,47;89,66;59,69;52,05;80,45;45,59;42,16;30,73;6,29;15,12;10,20;424,12;69,80;163,67;260,16;422,96;1190,48;1764,58;426,46;41,92;80,32;138,32;67,25;9,98;24,18;49,39;0,527;0,507;6561617;240737;1264961;1711908;430086;446947;4887297;4440350;390997;823379;3616971;539725;6525585;6561617;0,521;0,722;0,647;0,750;0,638;0,678
2015;MA;21;70,28;22,37;7,74;57,48;7,12;18,81;20,56;24,13;18,86;14,52;93,95;97,52;51,50;10,27;96,68;98,35;83,56;25,14;87,80;59,64;52,10;80,61;46,05;45,09;31,90;6,48;16,72;11,14;400,97;58,24;148,82;247,46;397,15;1152,78;1730,96;403,51;41,64;77,19;129,23;67,91;12,48;28,32;51,20;0,540;0,542;6681109;248798;1273971;1726450;437438;452479;4923108;4470629;360022;783209;3687420;535140;6639017;6681109;0,521;0,723;0,648;0,755;0,629;0,677
2011;PI;22;70,12;22,60;8,37;55,58;6,26;19,31;20,78;24,19;34,79;30,09;94,74;97,80;37,89;12,32;98,48;98,80;86,89;36,16;72,20;42,45;45,79;73,44;40,23;30,04;24,99;6,51;13,51;9,40;395,85;75,35;157,98;251,52;402,03;1097,02;1576,31;396,21;47,25;85,45;141,33;69,61;8,60;24,48;51,45;0,508;0,465;3108946;110822;562038;759518;196349;197480;2295983;2098503;159218;351616;1746887;264418;3106132;3108946;0,458;0,608;0,553;0,752;0,627;0,644
2012;PI;22;70,31;21,81;8,41;49,85;6,56;18,83;20,54;23,98;29,50;23,95;93,35;97,39;42,08;13,42;94,86;97,96;85,25;34,81;81,14;46,45;46,52;70,80;41,37;34,09;26,42;6,88;16,23;10,54;492,68;91,45;183,58;286,77;451,01;1449,24;2232,28;493,64;50,50;91,83;149,10;65,34;5,07;20,11;44,89;0,544;0,525;3160546;98414;496583;702413;158044;205830;2385592;2179762;173211;381291;1798471;267120;3154359;3160546;0,465;0,641;0,576;0,755;0,662;0,664
2013;PI;22;70,50;21,07;8,24;51,05;6,75;19,72;21,27;25,04;25,82;18,64;95,18;98,14;42,77;14,29;98,87;98,79;88,56;35,09;85,42;48,19;47,98;74,22;42,67;34,22;28,21;7,81;13,83;9,36;477,37;94,08;193,49;303,34;451,12;1345,39;1988,35;478,75;49,27;87,62;147,95;68,11;5,60;17,73;41,78;0,513;0,466;3156519;100866;520296;709492;168117;189196;2372382;2183186;171524;366989;1816197;262714;3147400;3156519;0,480;0,667;0,597;0,758;0,657;0,671
2014;PI;22;70,68;20,37;8,82;48,70;6,80;20,21;21,83;25,62;24,04;18,10;93,19;97,28;45,68;14,92;99,45;98,82;85,52;31,49;84,88;52,09;48,42;73,88;43,26;38,51;29,15;8,22;12,85;8,78;487,90;93,72;209,31;318,34;485,90;1330,79;1947,03;488,42;50,43;83,15;144,34;67,32;6,24;16,63;37,56;0,500;0,452;3181684;102023;474223;675467;163116;201244;2432255;2231011;180495;375560;1855451;281970;3178322;3181684;0,484;0,687;0,612;0,761;0,661;0,678
2015;PI;22;70,87;19,72;8,62;49,06;7,07;18,18;19,72;23,06;22,78;17,32;94,09;97,07;49,57;10,94;97,06;98,16;85,88;31,59;82,49;57,06;49,42;76,27;44,17;35,03;29,82;8,62;13,80;9,53;457,55;79,65;182,39;303,72;475,98;1248,07;1807,45;459,83;42,64;82,12;138,70;68,84;7,89;20,62;42,68;0,507;0,473;3180772;95694;518954;714273;189682;195319;2427658;2232339;176744;365296;1867043;276382;3165010;3180772;0,494;0,679;0,611;0,765;0,650;0,675
2011;CE;23;72,65;18,57;8,95;50,48;7,02;16,49;17,90;21,15;19,24;14,89;93,94;96,57;52,21;12,69;96,60;98,36;84,88;27,81;88,70;60,71;54,70;81,61;49,00;47,40;32,21;6,84;16,21;10,92;430,09;65,60;161,13;262,92;419,60;1238,36;1837,56;434,32;38,30;79,19;137,54;70,35;10,16;25,47;49,91;0,537;0,526;8452632;276144;1386564;1934377;519935;547813;6529987;5982174;468571;1045008;4937166;775429;8370311;8452632;0,547;0,734;0,665;0,794;0,640;0,700
2012;CE;23;72,91;17,56;9,25;49,62;7,16;16,27;17,64;20,83;17,29;13,89;94,12;96,93;53,37;12,34;96,56;98,35;85,67;26,54;88,70;61,93;52,91;81,26;46,89;47,63;30,81;7,22;15,06;10,12;465,93;77,57;183,32;289,54;456,95;1319,92;1964,22;469,28;43,23;81,32;141,20;68,23;8,44;21,23;44,15;0,524;0,497;8443920;254666;1357926;1909189;476565;551263;6643146;6091883;477895;1067882;5024001;807489;8383760;8443920;0,529;0,737;0,660;0,799;0,653;0,704
2013;CE;23;73,15;16,65;9,34;48,39;7,39;16,72;18,09;21,65;16,31;12,63;93,69;97,54;53,15;12,13;98,48;98,80;83,23;25,26;90,08;62,33;54,34;80,98;48,39;49,35;32,92;7,60;14,02;9,66;454,63;76,68;184,52;293,21;462,80;1261,38;1831,44;460,46;37,45;78,41;140,54;66,55;8,29;20,58;43,85;0,513;0,472;8417958;256441;1346294;1881888;473175;535594;6750621;6215027;513094;1135277;5079750;821367;8311417;8417958;0,543;0,751;0,674;0,803;0,649;0,709
2014;CE;23;73,39;15,81;9,84;48,15;7,44;16,28;17,49;20,65;13,77;10,65;93,37;97,39;57,28;14,90;98,18;98,33;83,46;27,42;91,71;66,55;54,17;82,23;48,51;49,99;33,07;7,44;13,31;9,13;481,88;90,02;198,34;314,62;490,98;1316,55;1918,35;483,88;43,56;81,67;146,15;69,09;6,31;17,26;40,70;0,503;0,459;8660297;244219;1289362;1795546;447000;506184;6853834;6347650;488581;1064789;5282861;871915;8624448;8660297;0,542;0,766;0,682;0,807;0,659;0,716
2015;CE;23;73,62;15,07;10,65;48,51;7,44;17,33;18,59;21,90;13,74;10,27;93,70;97,65;56,59;15,71;97,22;98,59;82,42;27,54;92,43;67,96;54,59;83,43;48,81;53,92;33,89;7,22;12,70;8,89;438,94;77,10;184,02;298,12;469,70;1161,14;1658,41;438,98;43,89;80,92;136,67;67,64;8,76;21,32;42,22;0,491;0,458;8688588;245889;1282433;1771921;426035;489488;6959191;6469703;495541;1080340;5389363;950311;8687880;8688588;0,546;0,779;0,692;0,810;0,644;0,715
2011;RN;24;74,41;19,25;8,37;47,47;7,42;15,84;16,92;19,67;24,08;19,88;91,71;95,32;46,18;11,85;94,30;97,43;81,96;28,77;80,82;53,21;51,77;76,77;46,63;45,89;32,50;8,62;17,88;11,91;506,08;82,17;177,60;277,58;444,79;1546,39;2322,18;509,61;36,42;86,05;146,49;71,61;6,56;21,24;46,52;0,559;0,560;3255921;96375;521505;720963;193963;199458;2521551;2322093;163467;396472;1925621;276911;3233354;3255921;0,518;0,686;0,624;0,824;0,666;0,705
2012;RN;24;74,69;18,08;8,33;45,22;7,82;16,04;17,05;20,40;22,15;17,96;92,05;96,26;43,88;15,33;97,09;98,45;81,63;32,18;81,95;52,38;55,17;76,66;50,27;40,69;36,42;9,43;14,91;10,23;561,57;102,12;216,15;331,49;534,58;1627,60;2373,26;564,32;37,18;86,27;148,31;68,92;4,81;15,23;36,83;0,529;0,501;3292158;106084;477993;659325;164057;181332;2583513;2402181;195513;446515;1955666;278760;3276121;3292158;0,552;0,680;0,634;0,828;0,683;0,715
2013;RN;24;74,97;17,04;8,64;45,05;7,78;17,17;18,36;21,52;21,09;15,28;92,24;97,22;40,44;14,98;95,49;98,75;79,78;30,44;90,42;51,47;55,87;79,23;51,10;45,75;36,62;9,41;15,98;10,84;590,27;101,23;217,38;346,87;559,52;1726,98;2546,15;595,81;39,90;84,67;150,33;72,11;5,27;15,02;36,86;0,539;0,514;3230220;88761;480525;662051;160173;181526;2624213;2442687;188210;414458;2028229;292301;3200192;3230220;0,559;0,708;0,654;0,833;0,691;0,726
2014;RN;24;75,23;16,14;8,67;43,54;7,60;16,21;17,27;20,67;23,66;18,40;93,63;98,39;45,95;13,85;91,67;99,12;82,35;28,61;85,49;53,68;54,75;76,56;50,03;46,05;35,45;8,43;12,39;8,52;531,69;108,02;232,68;348,06;526,43;1451,22;2110,82;532,55;43,63;86,14;155,71;69,66;4,66;13,60;35,54;0,495;0,438;3373627;89060;462203;645731;172057;183528;2676629;2493101;205111;443287;2049814;296203;3368229;3373627;0,548;0,692;0,640;0,837;0,674;0,717
2015;RN;24;75,48;15,34;8,62;44,58;8,09;15,77;16,83;19,88;21,71;15,88;93,32;98,27;41,83;15,46;97,06;98,70;81,28;29,58;93,33;51,79;55,66;75,79;51,61;44,07;38,13;10,19;13,42;9,40;532,78;95,51;217,05;346,87;538,31;1469,23;2096,87;533,33;46,83;83,36;144,02;69,24;6,90;16,35;36,70;0,506;0,471;3409386;96076;488855;666180;169543;177325;2683865;2506540;190745;420357;2086183;297414;3405854;3409386;0,557;0,716;0,658;0,841;0,675;0,725
2011;PB;25;71,59;21,46;9,29;47,62;7,05;17,23;18,54;21,61;26,16;21,55;93,33;96,64;42,12;15,63;92,90;98,59;83,97;31,27;82,63;50,00;51,85;74,08;47,55;35,35;32,50;10,48;15,71;10,68;489,23;88,07;180,50;283,60;463,13;1433,98;2109,17;493,02;38,45;88,07;150,30;69,13;6,34;20,13;47,21;0,537;0,509;3737613;114439;576558;806665;208852;230107;2971580;2741473;196360;443991;2297482;358296;3708853;3737613;0,519;0,652;0,604;0,777;0,661;0,681
2012;PB;25;71,94;20,18;9,22;49,40;7,29;18,59;19,95;23,48;26,66;22,27;92,98;96,15;43,55;12,78;93,45;97,71;82,81;30,96;80,83;50,14;49,17;70,22;44,85;38,44;32,15;9,51;14,90;10,12;510,68;96,26;195,00;306,29;485,45;1473,71;2169,89;514,02;41,67;88,43;147,09;66,07;5,21;17,54;40,81;0,528;0,490;3795343;103465;592416;807333;221697;214917;2961512;2746595;213082;467410;2279185;358408;3770709;3795343;0,492;0,657;0,597;0,782;0,668;0,682
2013;PB;25;72,29;19,02;8,55;47,31;7,29;18,21;19,50;22,82;22,02;16,96;91,76;96,66;44,48;17,88;98,39;97,30;79,70;31,50;85,93;50,75;50,46;75,10;45,57;40,55;32,18;9,52;14,52;9,89;508,50;93,35;199,41;307,71;494,14;1447,53;2125,85;513,14;42,58;85,69;150,78;67,75;6,49;17,34;41,80;0,522;0,479;3853658;117807;587174;799364;211560;212190;2995371;2783181;207743;460483;2322698;335080;3818818;3853658;0,505;0,689;0,621;0,788;0,667;0,692
2014;PB;25;72,61;17,97;9,54;49,33;7,48;16,91;18,01;21,39;21,58;17,80;91,48;96,60;43,32;16,97;95,85;97,56;79,62;29,43;85,45;52,87;50,90;69,54;47,05;46,67;34,27;10,03;13,49;9,43;545,34;103,50;220,04;341,86;535,31;1526,13;2181,58;547,73;38,91;76,54;151,52;65,91;5,81;12,95;36,43;0,510;0,471;3860844;120210;586690;782252;205521;195562;3020653;2825091;214871;484546;2340545;376801;3844026;3860844;0,509;0,702;0,631;0,794;0,678;0,701
2015;PB;25;72,93;17,01;9,30;47,33;7,71;17,13;18,17;21,14;22,50;18,71;92,92;97,09;49,54;19,37;95,60;98,32;81,12;32,19;83,18;58,20;55,31;77,92;51,05;48,27;37,24;11,28;14,99;10,20;523,52;89,49;203,52;324,37;507,86;1493,86;2196,38;525,51;41,29;82,49;142,47;69,34;6,71;17,76;38,57;0,524;0,500;3923954;117652;576641;785439;203622;208798;3068698;2859900;206216;453805;2406095;369774;3909085;3923954;0,553;0,713;0,655;0,799;0,672;0,709
2011;PE;26;71,65;17,08;7,98;48,62;7,38;15,74;16,82;19,43;29,18;25,61;92,26;96,40;42,69;10,38;92,03;98,07;79,90;28,37;76,79;52,15;55,84;73,93;52,14;39,20;34,49;7,90;14,97;10,22;429,29;69,37;169,00;267,89;427,37;1218,11;1783,97;436,22;33,28;77,28;140,12;70,27;10,12;23,37;48,87;0,526;0,502;8211319;292079;1446599;1968268;488972;521669;6832554;6310885;466436;1070564;5240321;724524;8080759;8211319;0,558;0,650;0,618;0,778;0,640;0,679
2012;PE;26;72,13;15,87;8,73;49,68;7,65;16,74;17,87;20,64;26,18;22,77;92,45;96,37;45,03;12,18;94,18;98,17;79,38;27,86;83,51;54,12;54,77;74,53;51,07;42,55;35,04;8,25;13,41;9,24;490,36;89,99;203,45;313,10;488,56;1355,58;1967,02;495,23;35,78;79,53;145,67;71,07;6,95;17,19;39,76;0,507;0,462;8814546;279250;1468356;1976614;535501;508258;6913912;6405654;437469;1009933;5395721;799355;8727924;8814546;0,548;0,686;0,636;0,786;0,661;0,694
2013;PE;26;72,60;14,85;9,44;48,61;7,86;15,27;16,31;18,77;22,04;18,65;92,62;94,92;50,72;13,44;93,04;97,57;83,16;28,06;84,36;59,86;54,63;76,27;50,46;44,67;36,97;8,77;13,08;9,15;494,79;87,87;206,53;328,86;512,57;1346,15;1924,85;501,35;36,04;76,15;143,30;69,54;7,63;16,69;38,72;0,500;0,452;8673130;263639;1366134;1869086;474973;502952;7077087;6574135;475805;1063004;5511131;870823;8559679;8673130;0,546;0,705;0,647;0,793;0,663;0,701
2014;PE;26;73,05;13,99;9,68;48,39;7,94;14,76;15,80;18,10;20,35;16,40;93,08;95,94;48,41;13,59;93,64;98,26;81,62;26,27;86,09;56,82;55,16;76,70;51,19;46,02;36,91;9,77;13,40;9,23;529,47;98,96;217,43;340,18;528,84;1460,25;2120,31;532,41;39,51;81,99;147,10;69,28;5,75;15,01;36,25;0,505;0,461;8798808;267022;1355828;1842893;471677;487065;7161215;6674150;472971;1038326;5635824;899126;8750240;8798808;0,552;0,706;0,651;0,801;0,674;0,709
2015;PE;26;73,48;13,26;10,44;47,94;7,92;15,36;16,45;19,08;21,49;18,67;92,47;96,15;48,95;14,73;96,99;98,39;80,64;29,04;85,76;59,00;55,17;77,20;51,15;45,73;37,21;9,96;14,69;9,84;500,13;88,66;199,42;312,25;485,81;1417,09;2115,87;500,28;42,38;81,36;144,94;67,72;7,30;17,69;40,29;0,521;0,504;9217551;244677;1370132;1889463;481873;519331;7303871;6784540;502469;1047777;5736763;977339;9214796;9217551;0,552;0,719;0,658;0,808;0,665;0,710
2011;AL;27;69,61;27,95;6,76;54,84;6,28;21,78;23,71;28,06;29,34;22,52;90,96;95,05;32,63;11,67;86,77;96,36;77,37;30,45;83,79;39,47;47,59;67,58;43,05;28,78;25,41;5,81;14,60;9,89;352,12;58,96;142,25;219,15;340,72;994,99;1468,68;358,87;33,98;80,05;137,07;68,02;10,96;29,40;58,43;0,523;0,479;3068992;111377;630555;854496;214504;223941;2326485;2102544;167932;388918;1713626;220387;3011239;3068992;0,476;0,597;0,554;0,744;0,608;0,635
2012;AL;27;70,03;25,90;7,16;51,40;6,62;21,83;23,85;27,96;27,84;21,97;90,88;93,84;37,33;11,16;89,65;95,96;78,93;29,46;80,85;44,27;45,10;66,20;40,52;32,23;26,44;6,53;12,59;8,68;393,29;77,08;170,20;254,13;392,92;1073,55;1556,35;398,52;35,06;79,89;146,26;70,69;8,67;20,98;50,51;0,498;0,440;3218016;104876;567176;793200;198300;226024;2404307;2178283;181432;388765;1789518;235075;3175834;3218016;0,451;0,618;0,556;0,751;0,626;0,644
2013;AL;27;70,44;24,03;7,05;50,86;6,74;21,65;23,22;27,54;28,77;22,78;92,44;95,14;37,42;12,66;89,83;97,15;80,00;28,73;83,08;42,26;47,31;66,57;42,78;32,80;26,74;7,05;14,88;10,19;412,86;65,70;162,34;262,03;412,72;1162,23;1696,92;424,38;32,16;78,51;135,09;69,98;10,25;24,54;48,80;0,522;0,470;3188987;107149;572664;760317;200369;187653;2424403;2236750;186455;425567;1811183;233044;3102418;3188987;0,473;0,620;0,567;0,757;0,634;0,653
2014;AL;27;70,84;22,36;7,25;48,32;6,69;21,97;23,87;28,46;21,21;14,88;90,63;94,90;39,55;12,28;92,27;96,74;77,44;28,14;89,17;50,42;48,63;68,83;43,85;36,74;29,12;6,33;12,69;8,57;414,51;76,94;176,25;267,54;421,52;1084,38;1605,87;415,04;42,84;77,50;144,46;68,56;8,69;20,27;47,91;0,497;0,455;3269758;108305;551051;765831;187868;214780;2483577;2268797;216588;433773;1835024;241113;3265569;3269758;0,486;0,672;0,603;0,764;0,634;0,667
2015;AL;27;71,23;20,86;8,78;48,87;7,03;20,01;21,47;25,11;24,11;17,72;92,19;95,16;39,75;13,10;87,98;96,70;84,54;30,51;87,38;47,32;47,70;71,64;43,07;37,04;29,25;8,79;11,96;8,10;406,34;76,41;175,07;275,10;421,89;1018,82;1503,42;406,34;40,88;83,61;140,81;64,00;8,17;22,78;46,17;0,484;0,436;3265050;99421;533583;733055;194431;199472;2540804;2341332;186874;379418;1961914;293854;3265050;3265050;0,477;0,649;0,586;0,771;0,631;0,663
2011;SE;28;71,31;21,25;7,50;49,67;7,51;15,98;16,99;20,08;33,31;28,75;93,71;97,41;40,91;13,56;95,33;98,13;83,77;31,54;75,73;44,48;52,50;71,41;48,27;35,11;33,78;7,51;17,23;11,32;527,59;94,40;186,93;288,31;471,88;1591,85;2424,21;530,09;40,33;88,32;153,25;71,40;5,51;17,71;45,24;0,556;0,550;2088475;78117;351899;464349;112796;112450;1598953;1486503;109156;271966;1214537;161353;2078620;2088475;0,525;0,627;0,591;0,772;0,673;0,679
2012;SE;28;71,60;20,05;7,14;47,55;7,40;16,31;17,54;20,90;30,83;25,66;94,22;98,30;41,30;14,21;98,55;99,20;84,42;32,20;80,72;46,23;51,55;75,22;46,26;38,68;33,20;8,03;15,81;10,57;542,12;99,03;201,52;315,08;505,02;1588,11;2376,23;544,76;39,20;91,72;149,26;74,44;4,14;17,37;39,69;0,540;0,517;2125141;71233;343759;476233;114242;132474;1630998;1498524;124561;273557;1224967;155529;2114817;2125141;0,516;0,660;0,608;0,777;0,678;0,688
2013;SE;28;71,88;18,94;7,46;45,98;7,58;16,93;18,05;20,98;28,50;22,87;94,53;97,82;43,19;17,57;98,47;99,06;86,09;36,62;86,44;49,11;53,21;76,08;48,43;38,65;33,52;8,77;17,39;11,19;581,83;104,82;208,94;326,54;510,31;1755,92;2727,70;587,21;37,80;85,38;151,94;73,57;4,62;14,05;38,27;0,557;0,546;2130320;70866;347452;469668;114601;122216;1672231;1550015;113168;267561;1282454;164157;2110797;2130320;0,532;0,682;0,628;0,781;0,689;0,699
2014;SE;28;72,15;17,94;8,05;47,43;7,24;17,15;18,39;21,56;27,67;22,60;93,28;96,67;41,21;15,60;95,58;97,81;83,52;32,42;81,39;45,60;50,63;72,37;46,18;32,53;31,03;7,91;11,78;8,17;500,83;113,65;213,51;336,01;505,86;1336,96;1926,81;502,93;40,23;92,43;156,76;72,42;3,27;13,14;37,58;0,483;0,408;2165040;65423;347331;478912;130113;131581;1688661;1557080;119993;264212;1292868;179254;2156005;2165040;0,506;0,638;0,591;0,786;0,665;0,681
2015;SE;28;72,41;17,02;7,81;45,63;7,59;15,63;16,78;19,98;28,98;21,56;93,54;96,65;35,19;14,61;96,31;98,60;82,96;31,32;83,33;40,22;52,27;71,45;48,20;38,12;34,03;8,03;11,73;8,44;463,77;93,35;196,73;316,37;488,76;1223,95;1701,88;467,48;41,03;90,40;145,24;68,88;5,33;18,87;40,10;0,480;0,404;2215321;69651;339481;470718;118784;131237;1719674;1588437;132718;278614;1309823;175590;2197725;2215321;0,523;0,645;0,601;0,790;0,652;0,681
2011;BA;29;72,20;21,95;7,88;50,12;7,10;14,45;15,62;18,17;36,16;31,21;94,05;97,20;38,89;8,42;93,78;98,19;84,11;30,71;71,68;47,11;52,68;74,81;48,38;34,96;32,96;5,98;17,62;11,68;465,92;67,52;168,89;274,94;440,47;1380,79;2082,68;471,80;36,59;78,50;137,80;73,45;10,29;24,45;47,85;0,554;0,562;13792220;511511;2450009;3328178;845136;878169;11088019;10209850;710648;1661009;8548841;1173038;13620156;13792220;0,527;0,619;0,586;0,787;0,653;0,675
2012;BA;29;72,47;20,87;8,39;49,01;7,35;15,89;17,05;19,99;29,26;23,73;93,55;97,19;42,10;9,49;92,74;98,18;84,26;31,10;80,84;47,82;50,96;72,19;46,72;34,62;34,13;6,52;16,82;11,15;491,47;78,32;181,57;287,53;461,14;1448,54;2185,17;498,00;36,62;80,18;139,18;72,61;8,21;21,06;44,01;0,548;0,537;14309666;463199;2393413;3249177;865477;855764;11307415;10451651;824887;1742435;8709216;1256242;14122131;14309666;0,510;0,640;0,593;0,791;0,662;0,682
